,Borough,number.of.energy.meters.cat,multifamily_pop_type,Metered.Areas.Energy,Property.Type,estimated_gas_usage,Occupancy100,estimated_electricity_usage,subsidized_housing,multifamily_cooled_area,energy_score,building_age,multifamily_heated_area,Latitude,green_electricity_percent,Longitude,energy_use,property_gfa,multifamily_gfa
13662,MANHATTAN,10,,Whole Property,Multifamily Housing,No,True,No,,100.0,61.0,85.0,100.0,40.845031,0.0,-73.937599,85.6,42926.0,42926.0
13663,BROOKLYN,5,,Whole Property,Multifamily Housing,No,True,No,No,90.0,38.0,94.0,100.0,40.63202,0.0,-74.020136,98.7,46200.0,46200.0
13664,MANHATTAN,10,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,100.0,66.0,95.0,100.0,40.8023,0.0,-73.969728,72.3,125351.0,125351.0
13665,BROOKLYN,5,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,90.0,97.0,100.0,100.0,40.66661,0.0,-73.940422,66.9,31104.0,31104.0
13666,BROOKLYN,5,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,90.0,64.0,121.0,100.0,40.675297,0.0,-73.951843,83.6,27042.0,27042.0
13667,BROOKLYN,20,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,90.0,85.0,37.0,100.0,40.669856,0.0,-73.887724,44.5,82528.0,82528.0
13668,BRONX,15,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,90.0,3.0,91.0,90.0,40.854793,0.0,-73.865752,157.8,72000.0,66000.0
13669,MANHATTAN,10,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,100.0,76.0,96.0,100.0,40.844361,0.0,-73.938033,80.2,28240.0,28240.0
13670,MANHATTAN,10,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,100.0,61.0,93.0,100.0,40.735102,0.0,-73.993592,67.8,79238.0,42384.0
13671,BROOKLYN,10,,Whole Property,Multifamily Housing,No,True,No,No,90.0,6.0,94.0,100.0,40.655351,0.0,-73.930615,127.3,28800.0,25200.0
13672,BROOKLYN,10,,Whole Property,Multifamily Housing,No,True,No,No,90.0,9.0,91.0,100.0,40.636234,0.0,-73.967926,138.8,38500.0,37500.0
13673,QUEENS,5,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,80.0,87.0,11.0,100.0,40.71423,0.0,-73.814845,54.1,50071.0,50071.0
13674,MANHATTAN,10,,Whole Property,Multifamily Housing,No,True,No,No,100.0,77.0,90.0,100.0,40.729585,0.0,-73.994934,70.8,131838.0,121013.0
13675,BRONX,15,No specific resident population,Whole Property,Multifamily Housing,No,True,No,,0.0,7.0,39.0,0.0,40.821001,0.0,-73.89558,80.4,148827.0,148827.0
13676,MANHATTAN,10,,Whole Property,Multifamily Housing,No,True,No,No,80.0,82.0,75.0,90.0,40.729618,0.0,-73.994963,68.1,73733.0,73733.0
13677,QUEENS,5,No specific resident population,Whole Property,Multifamily Housing,,True,No,No,100.0,86.0,91.0,100.0,40.761887,0.0,-73.926551,81.0,43070.0,43070.0
13678,BRONX,10,,Whole Property,Multifamily Housing,No,True,No,,90.0,30.0,92.0,100.0,40.887583,0.0,-73.862402,123.1,37362.0,37362.0
13679,BRONX,10,No specific resident population,Whole Property,Multifamily Housing,No,True,No,Yes,90.0,90.0,94.0,100.0,40.893773,0.0,-73.85853,70.0,36916.0,36916.0
13680,MANHATTAN,5,No specific resident population,Whole Property,Multifamily Housing,No,True,No,,90.0,86.0,20.0,100.0,40.765148,0.0,-73.985109,57.2,97462.0,97462.0
13681,MANHATTAN,10,,Whole Property,Multifamily Housing,No,True,No,,90.0,99.0,116.0,100.0,40.825661,0.0,-73.948648,24.7,31830.0,31830.0
13682,MANHATTAN,10,,Whole Property,Multifamily Housing,No,False,No,,100.0,,91.0,100.0,40.795347,,-73.976037,,55061.0,55061.0
13683,MANHATTAN,10,,Whole Property,Multifamily Housing,No,False,No,,100.0,84.0,81.0,100.0,40.771708,0.0,-73.95525,61.1,63903.0,63903.0
13684,MANHATTAN,10,,Whole Property,Multifamily Housing,No,True,No,,100.0,16.0,117.0,100.0,40.721367,0.0,-74.000198,77.7,68111.0,49712.0
13685,BRONX,10,No specific resident population,Whole Property,Multifamily Housing,No,True,No,Yes,100.0,14.0,93.0,100.0,40.882122,0.0,-73.883258,126.3,49700.0,49700.0
13686,QUEENS,5,No specific resident population,Whole Property,Multifamily Housing,,True,No,No,100.0,58.0,94.0,100.0,40.755899,0.0,-73.920404,104.1,26240.0,26240.0
13687,BRONX,5,No specific resident population,Whole Property,Multifamily Housing,No,True,No,No,100.0,80.0,60.0,100.0,40.880145,0.0,-73.917398,65.9,130570.0,130570.0
13688,BROOKLYN,5,,Whole Property,Multifamily Housing,No,True,No,,100.0,41.0,117.0,100.0,40.673817,0.0,-73.924723,81.2,34580.0,34580.0
13689,BROOKLYN,5,,Whole Property,Multifamily Housing,No,True,No,,100.0,41.0,117.0,100.0,40.673817,0.0,-73.924723,81.2,34580.0,34580.0
13690,MANHATTAN,5,,Whole Property,Multifamily Housing,No,True,No,,100.0,18.0,84.0,100.0,40.777663,0.0,-73.979412,70.9,51000.0,51000.0
13691,QUEENS,5,No specific resident population,Whole Property,Multifamily Housing,,True,No,No,100.0,86.0,72.0,100.0,40.731035,0.0,-73.843245,73.8,33831.0,33831.0
13692,MANHATTAN,5,,Whole Property,Multifamily Housing,No,True,No,,100.0,45.0,97.0,100.0,40.768614,0.0,-73.96005,83.7,25398.0,25398.0
13693,MANHATTAN,10,,Whole Property,Multifamily Housing,No,True,No,,100.0,81.0,101.0,100.0,40.781292,0.0,-73.981967,62.3,44351.0,44351.0
13694,MANHATTAN,10,,Whole Property,Multifamily Housing,No,True,No,,100.0,27.0,76.0,100.0,40.775555,0.0,-73.952312,89.7,33580.0,33580.0
